1470907790.19,-32.45
1470907798.97,68.45
1470907803.35,-474.0
1470907804.16,-188.15
1470907805.74,510.6
1470907805.94,71.2
1470907806.24,106.4
1470907806.93,240.85
1470907807.43,181.5
1470907807.73,171.3
1470907808.09,223.6
1470907809.6,-77.15
1470907809.82,59.15
1470907810.05,49.25
1470907810.32,68.3
1470907811.09,91.7
1470907811.62,74.2
1470907811.93,48.05
1470907812.43,9.4
1470907812.96,19.85
1470907813.13,30.65
1470907813.32,27.85
1470907813.63,16.2
1470907813.91,13.85
1470907814.21,-18.05
1470907814.48,-16.95
1470907814.81,-16.5
1470907815.12,-34.05
1470907815.37,-32.7
1470907815.54,17.9
1470907815.71,6.9
1470907816.01,49.45
1470907816.26,63.3
1470907816.43,71.55
1470907816.68,59.75
1470907817.04,51.9
1470907817.34,23.0
1470907817.49,53.35
1470907817.74,62.6
1470907817.95,64.6
1470907818.19,49.7
1470907818.43,48.95
1470907818.68,32.9
1470907818.87,40.55
1470907819.12,36.35
1470907819.38,-7.5
1470907819.63,-37.85
1470907819.88,-64.75
1470907820.13,-66.35
1470907820.38,-31.9
1470907820.66,-33.45
1470907820.93,-53.65
1470907821.23,-141.6
1470907821.44,-167.9
1470907821.71,-144.1
1470907821.88,-196.9
1470907822.05,-249.0
1470907822.28,-232.05
1470907822.44,-227.75
1470907822.69,-239.1
1470907822.91,-229.95
1470907823.16,-234.35
1470907823.4,-263.15
1470907823.59,-284.15
1470907823.79,-265.25
1470907824.02,-275.2
1470907824.26,-332.2
1470907824.51,-379.5
1470907824.76,-326.8
1470907824.91,-293.45
1470907825.16,-332.1
1470907825.38,-338.8
1470907825.69,-320.8
1470907825.87,-299.55
1470907826.16,-338.7
1470907826.51,-346.3
1470907826.85,-304.8
1470907827.1,-478.7
1470907827.29,-470.35
1470907827.48,-516.55
1470907827.71,-523.65
1470907827.96,-494.7
1470907828.23,-445.3
1470907828.49,-431.45
1470907828.76,-432.2
1470907828.97,-415.4
1470907829.16,-405.75
1470907829.37,-396.45
1470907829.6,-356.7
1470907829.93,-305.7
1470907830.18,-230.25
1470907830.44,-191.4
1470907830.71,-114.4
1470907830.94,-36.9
1470907831.21,24.65
1470907832.96,3.65
1470907833.19,-48.45
1470907833.46,-27.2
1470907833.71,-2.15
1470907833.87,22.5
1470907834.02,26.8
1470907834.18,42.35
1470907834.34,56.7
1470907834.49,64.7
1470907834.74,104.3
1470907834.91,143.6
1470907835.37,126.65
1470907837.97,-364.25
1470907838.87,59.5
1470907841.02,-216.1
1470907841.29,-96.0
1470907841.76,-10.05
1470907842.09,2.85
1470907842.29,11.75
1470907842.65,-15.35
1470907843.26,-20.2
1470907843.73,-24.95
1470907844.49,-93.75
1470907844.91,-10.5
1470907845.55,225.0
1470907845.84,58.15
1470907846.18,13.35
1470907846.58,12.55
1470907846.91,77.2
1470907847.4,84.5
1470907847.76,103.1
1470907848.21,37.35
1470907848.46,72.35
1470907848.8,106.1
1470907849.07,137.65
1470907849.32,170.35
1470907849.59,145.0
1470907849.84,147.4
1470907850.15,172.15
1470907850.46,182.15
1470907850.73,164.95
1470907850.94,169.15
1470907851.26,173.85
1470907851.57,171.4
1470907852.07,182.15
1470907852.3,168.55
1470907852.62,179.05
1470907852.95,127.45
1470907853.26,84.5
1470907853.6,94.0
