1470948382.16,-12.5,82.5,91.9709487681
1470948382.34,-47.5,103.125,108.17076859
1470948382.48,-47.0,72.0,83.576619336
1470948382.82,-15.5,2.625,83.2706498923
1470948383.13,76.0,116.625,54.5856045309
1470948383.34,35.0,73.5,131.149537734
1470948383.52,63.25,60.75,81.1849083049
1470948383.57,20.0,66.0,90.7425691239
1470948383.74,-15.25,38.25,103.486116883
1470948383.82,4.75,28.125,68.1972527248
1470948383.87,-1.25,33.75,99.5131820857
1470948383.91,-3.0,44.25,90.5000369431
1470948383.96,-2.5,47.625,104.213713425
1470948384.01,-1.0,49.875,80.2147795816
1470948384.07,-0.25,57.75,102.677354191
1470948384.12,2.75,62.25,81.3670490075
1470948384.16,-0.25,59.25,102.677354191
1470948384.21,1.0,58.875,108.021662654
1470948384.27,1.0,55.875,82.6863939558
1470948384.32,2.75,57.0,81.3670490075
1470948384.37,1.5,53.25,90.5000369431
1470948384.41,5.0,51.75,118.243214613
1470948384.46,2.5,44.625,83.4063301729
1470948384.51,7.75,42.75,107.957957251
1470948384.55,5.75,47.25,83.4063301729
1470948384.6,6.25,45.375,68.1972527248
1470948384.85,24.25,42.75,99.5131820857
1470948384.9,17.5,43.125,104.213713425
1470948384.94,16.0,42.375,80.2147795816
1470948384.99,17.0,37.875,104.213713425
1470948385.04,16.25,37.5,81.1849083049
1470948385.09,20.25,30.375,89.7724404005
1470948385.15,18.25,32.25,78.4825100863
1470948385.19,20.5,23.25,87.4956552289
1470948385.24,21.5,26.25,87.4956552289
1470948385.3,29.5,32.25,87.4956552289
1470948385.35,23.75,35.625,86.1232073125
1470948385.4,24.25,34.125,88.5249911661
1470948385.44,28.25,36.75,99.5131820857
1470948385.49,24.5,32.625,77.1100621699
1470948385.54,26.25,33.75,75.8174626834
1470948385.6,25.0,33.75,84.3187731082
1470948385.65,25.0,33.75,84.3187731082
1470948385.9,5.75,30.0,73.1293960355
1470948385.94,19.5,32.25,81.52142884
1470948386.12,16.0,32.25,81.52142884
1470948386.16,18.5,21.0,58.1611604054
1470948386.21,20.25,25.875,76.7897437065
1470948386.26,19.0,21.375,64.9577784674
